        prove con ciclo
n:	0	t:	0.00018715858459472656
n:	1	t:	6.103515625e-05
n:	5	t:	0.00016164779663085938
n:	10	t:	0.0004317760467529297
n:	30	t:	0.002763986587524414
n:	50	t:	0.0032689571380615234
n:	70	t:	0.00948023796081543
n:	100	t:	0.011491060256958008
n:	130	t:	0.019418001174926758
n:	150	t:	0.04780983924865723
        prove senza ciclo


n:	0	t:	5.3882598876953125e-05
n:	1	t:	8.797645568847656e-05
n:	5	t:	0.0001590251922607422
n:	10	t:	0.00023865699768066406
n:	30	t:	0.0006458759307861328
n:	50	t:	0.0010209083557128906
n:	70	t:	0.001703023910522461
n:	100	t:	0.0022912025451660156
n:	130	t:	0.0025682449340820312
n:	150	t:	0.0031099319458007812
n:	150	t:	0.0029458999633789062
n:	150	t:	0.002961874008178711
n:	150	t:	0.0028638839721679688
n:	150	t:	0.003036975860595703
