        CON CICLO
n:	0	t:	3.0994415283203125e-06
n:	1	t:	2.47955322265625e-05
n:	5	t:	5.1021575927734375e-05
n:	10	t:	5.5789947509765625e-05
n:	30	t:	0.00011706352233886719
n:	50	t:	0.00012493133544921875
n:	70	t:	0.0002079010009765625
n:	100	t:	0.0002129077911376953
n:	130	t:	0.0002779960632324219
n:	150	t:	0.00041294097900390625

        SENZA CICLO

n:	0	t:	3.600120544433594e-05
n:	1	t:	3.62396240234375e-05
n:	5	t:	4.887580871582031e-05
n:	10	t:	6.198883056640625e-05
n:	30	t:	0.0001201629638671875
n:	50	t:	0.0001659393310546875
n:	70	t:	0.00018310546875
n:	100	t:	0.0003020763397216797
n:	130	t:	0.0005440711975097656
n:	150	t:	0.0006561279296875




